job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
B00570830-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),1351,44.4,1296,42.6,,,False,
B00570830-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),1335,43.9,944,31.0,,,False,
B00570830-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),1254,41.2,863,28.4,,,False,
B00570830-S4,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),1117,36.7,126,4.1,,,False,
B00570830-S5,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),1189,39.1,125,4.1,,,False,
B00571785-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1005,33.0,156,5.1,,,False,
B00571785-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1147,37.7,163,5.4,,,False,
B00571785-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1454,47.8,685,22.5,,,False,
B00574205-S1,DOB NOW,2024,BROOKLYN,OTHERS,0,Small (1-3 fl),306,10.1,0,,,,False,
B00574907-I1,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),1024,33.6,268,8.8,,,False,
B00574907-S1,DOB NOW,2023,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),510,16.8,281,9.2,,,False,
